issue,rating,date,note
BEAM-3492,0,17.02.2022,
BEAM-8938,0,17.02.2022,
BEAM-4236,0,17.02.2022,Feature request
BEAM-2961,1,17.02.2022,Design issue that causes data loss/corruption
BEAM-13434,0,17.02.2022,Improvement suggestion
BEAM-12840,1,17.02.2022,Upgrade broke functionality
BEAM-12603,0,18.02.2022,
BEAM-10751,0,18.02.2022,
BEAM-5759,1,18.02.2022,"unprotected access, exception will be thrown"
BEAM-13283,0,18.02.2022,
BEAM-11229,0,18.02.2022,
BEAM-12386,0,18.02.2022,
BEAM-11796,0,18.02.2022,
BEAM-13056,0,18.02.2022,Incorrect functionality
BEAM-11035,1,18.02.2022,Design issue
BEAM-13288,1,18.02.2022,"Workaround, design limitation"
BEAM-12491,1,18.02.2022,Backporting fix
BEAM-11116,0,18.02.2022,
BEAM-12842,0,18.02.2022,
BEAM-10569,0,18.02.2022,Incorrect functionality
BEAM-11837,1,18.02.2022,Design issue causing performance issue
BEAM-13294,0,18.02.2022,Incorrect functionality
BEAM-13289,1,18.02.2022,PR caused broken functionality
BEAM-12950,1,18.02.2022,Design issue
BEAM-12417,0,18.02.2022,Not related to system
BEAM-12796,1,18.02.2022,New import in PR merge caused blocker
BEAM-12820,0,18.02.2022,
BEAM-12076,0,18.02.2022,New feature request
BEAM-10639,0,18.02.2022,Incorrect functionality
BEAM-10248,0,18.02.2022,Incorrect functionality
BEAM-12229,1,18.02.2022,New release breaking functionality
BEAM-12155,0,18.02.2022,
BEAM-11815,0,18.02.2022,
BEAM-12054,0,18.02.2022,
BEAM-7064,0,18.02.2022,Incorrect functionality
BEAM-12041,1,18.02.2022,Hotfix
BEAM-5658,0,18.02.2022,
BEAM-11442,0,18.02.2022,Incorrect functionality
BEAM-3200,1,18.02.2022,Functionality throws exceptions due to a previous release
BEAM-6906,0,18.02.2022,
BEAM-8959,0,18.02.2022,
BEAM-11784,0,18.02.2022,Incorrect functionality
BEAM-11848,0,18.02.2022,
BEAM-11532,0,18.02.2022,Not related to system
BEAM-11160,1,18.02.2022,Update makes tests fail
BEAM-11472,1,18.02.2022,PR merge breaks functionality
BEAM-11435,0,19.02.2022,Incorrect functionality
BEAM-11417,1,19.02.2022,Design issue
BEAM-3646 ,1,19.02.2022,Design issue
BEAM-157 ,0,19.02.2022,Incorrect functionality
BEAM-9452 ,0,19.02.2022,
BEAM-9578,1,19.02.2022,Design limitation
BEAM-2373 ,0,19.02.2022,
BEAM-6030 ,1,19.02.2022,Design limitation
BEAM-8303 ,0,19.02.2022,
BEAM-6050 ,1,19.02.2022,Hotfix
BEAM-3169 ,0,19.02.2022,
BEAM-9743 ,0,19.02.2022,
BEAM-10462,0,19.02.2022,Incorrect functionality
BEAM-3756 ,0,19.02.2022,
BEAM-795 ,1,19.02.2022,Commit affected multiple components
BEAM-5337 ,0,19.02.2022,
BEAM-10229,0,19.02.2022,Asking to disable flaky test
BEAM-10474,0,19.02.2022,
BEAM-323 ,0,19.02.2022,Incorrect functionality
BEAM-304 ,1,19.02.2022,Old versions causes issues
BEAM-3230 ,0,19.02.2022,
BEAM-3578 ,1,19.02.2022,Design issue
BEAM-2734 ,1,19.02.2022,Design limitation
BEAM-1793 ,1,19.02.2022,Design issue
BEAM-7606 ,0,19.02.2022,
BEAM-9580 ,0,19.02.2022,
BEAM-6543 ,0,19.02.2022,
BEAM-7347 ,0,19.02.2022,
BEAM-6116 ,1,19.02.2022,A fix is being backported
BEAM-6329 ,0,19.02.2022,
BEAM-6178 ,0,19.02.2022,Feature request
BEAM-8574 ,0,19.02.2022,
BEAM-9968 ,0,19.02.2022,
BEAM-10308,1,19.02.2022,Design issue
BEAM-9975 ,1,19.02.2022,Design issue
BEAM-10073,0,19.02.2022,Feature request
BEAM-10102,0,19.02.2022,Incorrect functionality
BEAM-10056,0,19.02.2022,Incorrect functionality
BEAM-10267,0,19.02.2022,
BEAM-10247,1,19.02.2022,Dependency design issue
BEAM-10015,0,19.02.2022,
BEAM-9815 ,1,19.02.2022,Broken functionality due to upgrades
BEAM-8532 ,0,19.02.2022,
BEAM-9658 ,0,19.02.2022,
BEAM-8814 ,1,19.02.2022,Design limitation
BEAM-9807 ,0,19.02.2022,
BEAM-9832 ,1,19.02.2022,Considering rollback
BEAM-5060 ,0,19.02.2022,
BEAM-8916 ,0,19.02.2022,
BEAM-8196 ,1,19.02.2022,Desing issue
BEAM-6302,0,24.02.2022,
