issue,rating,date,note
WFLY-10385 ,0,21.02.2022,Incorrect functionality
WFLY-10386 ,1,21.02.2022,"Design issue, ?hardcode?"
WFLY-10387 ,0,21.02.2022,
WFLY-10396 ,0,21.02.2022,
WFLY-10397 ,0,21.02.2022,
WFLY-10398 ,1,21.02.2022,Design issue
WFLY-10399 ,0,21.02.2022,
WFLY-10405 ,0,21.02.2022,
WFLY-10406 ,0,21.02.2022,
WFLY-10409 ,1,21.02.2022,Design issue
WFLY-10411 ,0,21.02.2022,Incorrect functionality
WFLY-10413 ,0,21.02.2022,
WFLY-10416 ,0,21.02.2022,
WFLY-10422 ,0,21.02.2022,
WFLY-10424 ,0,21.02.2022,
WFLY-10426 ,1,21.02.2022,Talks about refactoring
WFLY-10427 ,1,21.02.2022,Design issue
WFLY-10431 ,0,21.02.2022,
WFLY-10434 ,0,21.02.2022,Incorrect functionality
WFLY-10435 ,0,21.02.2022,
WFLY-10438 ,1,21.02.2022,Design limitation
WFLY-10440 ,0,21.02.2022,
WFLY-10447 ,0,21.02.2022,
WFLY-10451 ,0,21.02.2022,
WFLY-10452 ,0,21.02.2022,
WFLY-10456 ,0,21.02.2022,
WFLY-10458 ,0,21.02.2022,
WFLY-10459 ,0,21.02.2022,
WFLY-10461 ,0,21.02.2022,
WFLY-10463 ,1,21.02.2022,Design issue
WFLY-10464 ,0,21.02.2022,
WFLY-10475 ,0,21.02.2022,
WFLY-10478 ,0,21.02.2022,
WFLY-10485 ,0,21.02.2022,
WFLY-10493 ,0,21.02.2022,
WFLY-10495 ,0,21.02.2022,
WFLY-10498 ,0,21.02.2022,
WFLY-10517 ,1,21.02.2022,Design issue
WFLY-10518 ,0,21.02.2022,
WFLY-10522 ,0,21.02.2022,
WFLY-10525 ,1,21.02.2022,Design limitation
WFLY-10526 ,0,21.02.2022,
WFLY-10532 ,0,21.02.2022,
WFLY-10534 ,1,21.02.2022,Design issue
WFLY-10535 ,0,21.02.2022,Incorrect functionality
WFLY-10536 ,0,21.02.2022,Incorrect functionality
WFLY-10537 ,0,21.02.2022,Incorrect functionality
WFLY-10539 ,0,21.02.2022,Incorrect functionality
WFLY-10553 ,1,21.02.2022,Design limitation
WFLY-1056 ,0,21.02.2022,
WFLY-10567 ,1,21.02.2022,Design issue
WFLY-10571 ,0,21.02.2022,
WFLY-10573 ,1,21.02.2022,Design issue
WFLY-10579 ,0,21.02.2022,
WFLY-10580 ,1,21.02.0022,Design limitation
WFLY-10583 ,0,21.02.2022,
WFLY-10585 ,0,21.02.2022,
WFLY-10606 ,1,21.02.2022,Design limitation
WFLY-10607 ,0,21.02.2022,
WFLY-10610 ,0,21.02.2022,
WFLY-10611 ,0,21.02.2022,
WFLY-10612 ,0,21.02.2022,
WFLY-10613 ,0,21.02.2022,
WFLY-10620 ,0,21.02.2022,
WFLY-10624 ,0,21.02.2022,Incorrect functionality
WFLY-1063 ,0,21.02.2022,
WFLY-10647 ,0,21.02.2022,
WFLY-10649 ,0,21.02.2022,Incorrect functionality
WFLY-10653 ,1,21.02.2022,Design issue
WFLY-10665 ,1,21.02.2022,Design issue
WFLY-10668 ,0,21.02.2022,
WFLY-10670 ,0,21.02.2022,
WFLY-10682 ,0,21.02.2022,
WFLY-10690,1,24.02.2022,Design issue
